,code,product_name,product_type,brands,canonical_categories,canonical_countries,ingredients_n,known_ingredients_n,unknown_ingredients_n,completeness,scans_n,unique_scans_n,creator,completeness_ratio,compl_critical_ratio,is_duplicate_product_name,ingredients_match,unknown_ingredients_ratio,ingredients_quality_score,countries_count,categories_count,missing_country_flag,missing_category_flag,missing_both_taxonomy_flag,country_languages,category_languages,countries_mixl,categories_mixl,has_lang_conflict,taxonomy_score,product_quality_score
10176,3245678622971,Cire,beauty,"Auchan, Cosmia",[],"[""en:france"", ""en:spain"", ""en:world""]",14.0,2.0,12.0,0.4625,1.0,1.0,elcoco,1.0,1.0,0,1,0.8571428571428571,0.1428571428571429,3,0,0,1,0,"[""en""]",[],0,0,0,1.0,0.7000000000000001
10177,3245678599853,Crème pieds anti-dessèchement,beauty,Cosmia,[],"[""en:france"", ""en:world""]",35.0,8.0,27.0,0.4625,1.0,1.0,org-auchan-apaw,1.0,1.0,0,1,0.7714285714285715,0.22857142857142854,2,0,0,1,0,"[""en""]",[],0,0,0,1.0,0.73
10178,3245678612545,Lotion apres-rasage activ,beauty,Cosmia,[],"[""en:france"", ""en:world""]",19.0,3.0,16.0,0.5625,1.0,1.0,org-auchan-apaw,1.0,1.0,0,1,0.8421052631578947,0.1578947368421053,2,0,0,1,0,"[""en""]",[],0,0,0,1.0,0.7052631578947369
10179,3245678152546,Soin démêlant technique force,beauty,Cosmia,[],"[""en:france"", ""en:world""]",24,2.0,22,0.4625,1.0,1.0,org-auchan-apaw,1.0,1.0,0,1,0.9166666666666666,0.08333333333333337,2,0,0,1,0,"[""en""]",[],0,0,0,1.0,0.6791666666666667
10180,3245678069226,Dermo confort nutri creme de douche soin,beauty,Cosmia,"[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:france"", ""en:world""]",19,3.0,16,0.5625,1.0,1.0,org-auchan-apaw,1.0,1.0,1,1,0.8421052631578947,0.1578947368421053,2,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.7052631578947369
10181,3245678090473,Gommage corps douceur aux grains de fruit de la passion,beauty,Cosmia,"[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:france"", ""en:world""]",15.0,3.0,12.0,0.5625,1.0,1.0,org-auchan-apaw,1.0,1.0,0,1,0.8,0.19999999999999996,2,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.72
10182,3245678042229,Creme visage hydratante a l'huile d'amande douce bio,beauty,Cosmia Bio,"[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:france"", ""en:world""]",23.0,4.0,19.0,0.5625,2.0,1.0,org-auchan-apaw,1.0,1.0,0,1,0.8260869565217391,0.17391304347826086,2,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.7108695652173913
10183,3245678042236,Cosmia cosmos bio - eau micellaire hydratante - à l'extrait de calendula bio - tous types de peaux - 250 ml,beauty,Cosmia Bio,[],"[""en:france"", ""en:world""]",10.0,2.0,8.0,0.4625,1.0,1.0,org-auchan-apaw,1.0,1.0,0,1,0.8,0.19999999999999996,2,0,0,1,0,"[""en""]",[],0,0,0,1.0,0.72
10184,3245678599983,Cosmia - crème de nuit - 40 + anti rides au collageneer® - tous types de peaux - 50ml,beauty,Cosmia,"[""en:non-food-products"", ""en:open-beauty-facts""]","[""en:france"", ""en:world""]",50,2.0,48,0.5625,1.0,1.0,org-auchan-apaw,1.0,1.0,0,1,0.96,0.040000000000000036,2,2,0,0,0,"[""en""]","[""en""]",0,0,0,1.0,0.664
10185,3245678627150,Eau de cologne fraicheur,beauty,Cosmia,[],"[""en:france"", ""en:world""]",7,2.0,5,0.5625,1.0,1.0,org-auchan-apaw,1.0,1.0,0,1,0.7142857142857143,0.2857142857142857,2,0,0,1,0,"[""en""]",[],0,0,0,1.0,0.75
